Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
97,"London, Canada",66.78,30.53,49.46,62.51,64.75,99.67
98,"Phoenix, AZ, United States",66.73,38.64,53.31,60.82,65.65,115.89
99,"Knoxville, TN, United States",66.65,33.63,50.88,71.72,59.77,98.01
100,"Kitchener, Canada",66.46,31.05,49.54,60.01,69.28,80.02
101,"Baton Rouge, LA, United States",66.25,32.38,50.07,63.06,69.48,86.43
102,"Houston, TX, United States",66.11,41.83,54.51,62.46,67.17,135.77
103,"Windsor, Canada",65.75,26.45,46.97,59.57,68.69,74.14
104,"Indianapolis, IN, United States",65.62,30.69,48.93,63.76,61.82,120.19
105,"Akron, OH, United States",65.58,20.95,44.26,70.62,48.18,100.24
106,"Albuquerque, NM, United States",65.48,27.18,47.18,66.14,65.09,104.06
107,"Huntsville, AL, United States",64.98,29.99,48.26,66.3,57.92,113.6
108,"Dallas, TX, United States",64.8,47.9,56.72,57.82,65.36,141.09
109,"Oklahoma City, OK, United States",64.61,31.79,48.93,66.73,54.11,110.09
110,"San Antonio, TX, United States",64.61,37.74,51.77,58.77,69.76,104.38
111,"Markham, Canada",64.61,43.33,54.44,55.33,64.98,103.76
112,"Salt Lake City, UT, United States",63.89,37.87,51.46,60.0,61.38,126.02
113,"Chattanooga, TN, United States",63.82,35.49,50.28,63.86,55.15,92.97
114,"Cincinnati, OH, United States",63.64,36.26,50.56,61.68,58.96,111.12
115,"Boise, ID, United States",63.3,36.52,50.51,57.81,66.73,96.98
116,"Tulsa, OK, United States",63.11,28.16,46.41,63.68,55.85,111.55
117,"Austin, TX, United States",63.04,50.35,56.98,61.38,65.3,129.63
118,"Little Rock, AR, United States",62.89,25.79,45.17,59.46,68.0,122.19
119,"Memphis, TN, United States",62.67,29.36,46.76,55.16,66.26,97.76
120,"Wichita, KS, United States",61.09,23.86,43.3,55.91,58.91,105.16
121,"Lexington, KY, United States",60.25,26.9,44.32,61.16,54.73,121.58
122,"El Paso, TX, United States",54.49,22.64,39.27,55.02,41.96,119.38
